timestamp,open,high,low,close
1641160800000,1.35199,1.35233,1.35199,1.35233
1641161100000,1.35233,1.35233,1.35233,1.35233
1641161400000,1.35233,1.35233,1.35223,1.35223
1641161700000,1.35231,1.35232,1.35231,1.35232
1641162000000,1.35232,1.35232,1.35232,1.35232
1641162300000,1.35223,1.35253,1.35223,1.35241
1641162600000,1.35223,1.35288,1.35223,1.35283
1641162900000,1.35285,1.35287,1.35223,1.35223
1641163200000,1.35233,1.35323,1.35223,1.35295
1641163500000,1.35292,1.35319,1.35260,1.35285
1641163800000,1.35285,1.35298,1.35261,1.35298
1641164100000,1.35289,1.35289,1.35268,1.35269
1641164400000,1.35287,1.35338,1.35286,1.35307
1641164700000,1.35301,1.35302,1.35272,1.35276
1641165000000,1.35276,1.35276,1.35257,1.35258
1641165300000,1.35257,1.35275,1.35249,1.35251
1641165600000,1.35251,1.35252,1.35230,1.35231
1641165900000,1.35232,1.35250,1.35232,1.35240
1641166200000,1.35240,1.35242,1.35227,1.35233
1641166500000,1.35234,1.35242,1.35227,1.35239
1641166800000,1.35237,1.35237,1.35227,1.35230
1641167100000,1.35233,1.35234,1.35202,1.35206
1641167400000,1.35203,1.35212,1.35201,1.35212
1641167700000,1.35213,1.35223,1.35204,1.35216
1641168000000,1.35209,1.35216,1.35205,1.35210
1641168300000,1.35207,1.35245,1.35206,1.35242
1641168600000,1.35242,1.35251,1.35211,1.35212
1641168900000,1.35215,1.35226,1.35210,1.35213
1641169200000,1.35212,1.35238,1.35210,1.35231
1641169500000,1.35233,1.35241,1.35220,1.35230
1641169800000,1.35232,1.35242,1.35211,1.35215
1641170100000,1.35216,1.35239,1.35214,1.35233
1641170400000,1.35233,1.35246,1.35229,1.35241
1641170700000,1.35241,1.35241,1.35218,1.35218
1641171000000,1.35219,1.35223,1.35179,1.35194
1641171300000,1.35194,1.35200,1.35164,1.35164
1641171600000,1.35166,1.35188,1.35154,1.35188
1641171900000,1.35190,1.35222,1.35187,1.35219
1641172200000,1.35217,1.35236,1.35209,1.35235
1641172500000,1.35236,1.35276,1.35218,1.35271
1641172800000,1.35269,1.35291,1.35267,1.35291
1641173100000,1.35290,1.35290,1.35252,1.35253
1641173400000,1.35254,1.35254,1.35227,1.35237
1641173700000,1.35238,1.35241,1.35196,1.35208
1641174000000,1.35208,1.35210,1.35149,1.35190
1641174300000,1.35189,1.35189,1.35150,1.35162
1641174600000,1.35161,1.35186,1.35159,1.35180
1641174900000,1.35178,1.35190,1.35162,1.35168
1641175200000,1.35170,1.35170,1.35148,1.35152
1641175500000,1.35151,1.35151,1.35063,1.35065
1641175800000,1.35064,1.35122,1.35064,1.35106
1641176100000,1.35106,1.35121,1.35103,1.35118
1641176400000,1.35119,1.35123,1.35102,1.35118
1641176700000,1.35118,1.35118,1.35099,1.35100
1641177000000,1.35100,1.35105,1.35090,1.35090
1641177300000,1.35092,1.35098,1.35055,1.35058
1641177600000,1.35060,1.35111,1.35059,1.35111
1641177900000,1.35112,1.35122,1.35048,1.35048
1641178200000,1.35043,1.35050,1.35036,1.35040
1641178500000,1.35038,1.35043,1.35036,1.35040
1641178800000,1.35040,1.35050,1.35040,1.35042
1641179100000,1.35042,1.35062,1.35040,1.35041
1641179400000,1.35042,1.35042,1.35029,1.35029
1641179700000,1.35029,1.35029,1.34978,1.34988
1641180000000,1.34989,1.34997,1.34980,1.34983
1641180300000,1.34981,1.34995,1.34979,1.34994
1641180600000,1.34992,1.34998,1.34971,1.34971
1641180900000,1.34969,1.34969,1.34948,1.34958
1641181200000,1.34958,1.34983,1.34958,1.34979
1641181500000,1.34979,1.35001,1.34967,1.34999
1641181800000,1.35000,1.35015,1.34998,1.34999
1641182100000,1.35007,1.35009,1.34988,1.34989
1641182400000,1.34998,1.35005,1.34962,1.35001
1641182700000,1.35002,1.35043,1.35002,1.35042
1641183000000,1.35042,1.35042,1.35036,1.35042
1641183300000,1.35041,1.35052,1.35041,1.35052
1641183600000,1.35051,1.35052,1.35037,1.35040
1641183900000,1.35040,1.35053,1.35038,1.35050
1641184200000,1.35051,1.35051,1.35038,1.35040
1641184500000,1.35040,1.35044,1.35039,1.35041
1641184800000,1.35041,1.35046,1.35039,1.35040
1641185100000,1.35039,1.35041,1.35029,1.35030
1641185400000,1.35028,1.35028,1.34950,1.34950
1641185700000,1.34949,1.34981,1.34947,1.34978
1641186000000,1.34980,1.35004,1.34979,1.35002
1641186300000,1.35001,1.35003,1.34979,1.34979
1641186600000,1.34982,1.34982,1.34970,1.34981
1641186900000,1.34979,1.34984,1.34972,1.34979
1641187200000,1.34979,1.34995,1.34978,1.34985
1641187500000,1.34984,1.34986,1.34964,1.34968
1641187800000,1.34967,1.34979,1.34963,1.34972
1641188100000,1.34972,1.34972,1.34950,1.34962
1641188400000,1.34961,1.34995,1.34961,1.34992
1641188700000,1.34992,1.34994,1.34973,1.34993
1641189000000,1.34995,1.35000,1.34985,1.34991
1641189300000,1.34994,1.35002,1.34971,1.34982
1641189600000,1.34983,1.35021,1.34982,1.35020
1641189900000,1.35024,1.35030,1.35018,1.35019
1641190200000,1.35019,1.35025,1.35012,1.35021
