timestamp,open,high,low,close
1672614600000,1.35256,1.35258,1.35216,1.35216
1672614900000,1.35175,1.35233,1.35175,1.35217
1672615200000,1.35218,1.35220,1.35215,1.35217
1672615500000,1.35218,1.35243,1.35218,1.35243
1672615800000,1.35246,1.35258,1.35246,1.35255
1672616400000,1.35260,1.35272,1.35252,1.35260
1672616700000,1.35261,1.35270,1.35261,1.35270
1672617000000,1.35270,1.35271,1.35270,1.35271
1672617300000,1.35281,1.35289,1.35277,1.35282
1672617600000,1.35282,1.35288,1.35269,1.35269
1672617900000,1.35270,1.35275,1.35261,1.35275
1672618200000,1.35269,1.35275,1.35235,1.35236
1672618500000,1.35240,1.35242,1.35232,1.35233
1672618800000,1.35234,1.35241,1.35234,1.35241
1672619100000,1.35238,1.35282,1.35238,1.35257
1672619400000,1.35252,1.35283,1.35252,1.35256
1672619700000,1.35255,1.35272,1.35255,1.35261
1672620000000,1.35262,1.35271,1.35258,1.35258
1672620300000,1.35256,1.35267,1.35221,1.35231
1672620600000,1.35225,1.35226,1.35225,1.35226
1672620900000,1.35226,1.35240,1.35226,1.35239
1672621200000,1.35239,1.35252,1.35233,1.35251
1672621500000,1.35252,1.35254,1.35236,1.35242
1672621800000,1.35242,1.35258,1.35239,1.35245
1672622100000,1.35246,1.35248,1.35244,1.35248
1672622400000,1.35249,1.35255,1.35248,1.35255
1672622700000,1.35256,1.35256,1.35239,1.35248
1672623000000,1.35248,1.35248,1.35235,1.35245
1672623300000,1.35246,1.35276,1.35242,1.35266
1672623600000,1.35267,1.35277,1.35248,1.35248
1672623900000,1.35276,1.35276,1.35246,1.35246
1672624200000,1.35277,1.35277,1.35246,1.35257
1672624500000,1.35256,1.35271,1.35241,1.35251
1672624800000,1.35246,1.35266,1.35245,1.35252
1672625100000,1.35245,1.35262,1.35240,1.35257
1672625400000,1.35247,1.35266,1.35247,1.35253
1672625700000,1.35249,1.35261,1.35249,1.35249
1672626000000,1.35257,1.35266,1.35249,1.35250
