timestamp,open,high,low,close
1609711200000,1.27136,1.27268,1.27136,1.27261
1609711500000,1.27215,1.27217,1.27215,1.27216
1609711800000,1.27215,1.27234,1.27160,1.27178
1609712100000,1.27166,1.27248,1.27166,1.27248
1609712400000,1.27259,1.27303,1.27228,1.27278
1609712700000,1.27261,1.27326,1.27258,1.27324
1609713000000,1.27325,1.27332,1.27312,1.27327
1609713300000,1.27327,1.27347,1.27316,1.27333
1609713600000,1.27332,1.27341,1.27318,1.27332
1609713900000,1.27332,1.27335,1.27311,1.27311
1609714200000,1.27310,1.27322,1.27298,1.27316
1609714500000,1.27316,1.27329,1.27296,1.27323
1609714800000,1.27324,1.27346,1.27264,1.27311
1609715100000,1.27311,1.27314,1.27233,1.27254
1609715400000,1.27251,1.27270,1.27225,1.27248
1609715700000,1.27251,1.27273,1.27250,1.27273
1609716000000,1.27276,1.27279,1.27258,1.27261
1609716300000,1.27260,1.27264,1.27253,1.27253
1609716600000,1.27251,1.27252,1.27221,1.27223
1609716900000,1.27223,1.27238,1.27219,1.27220
1609717200000,1.27221,1.27238,1.27208,1.27223
1609717500000,1.27225,1.27253,1.27223,1.27244
1609717800000,1.27245,1.27266,1.27240,1.27259
1609718100000,1.27259,1.27265,1.27220,1.27229
1609718400000,1.27228,1.27281,1.27207,1.27217
1609718700000,1.27215,1.27267,1.27215,1.27241
1609719000000,1.27241,1.27264,1.27233,1.27256
1609719300000,1.27257,1.27313,1.27257,1.27283
1609719600000,1.27280,1.27326,1.27275,1.27316
1609719900000,1.27316,1.27316,1.27285,1.27312
1609720200000,1.27311,1.27339,1.27308,1.27332
1609720500000,1.27329,1.27359,1.27324,1.27330
1609720800000,1.27328,1.27340,1.27324,1.27330
1609721100000,1.27328,1.27339,1.27314,1.27333
1609721400000,1.27335,1.27339,1.27294,1.27300
1609721700000,1.27299,1.27333,1.27292,1.27325
1609722000000,1.27324,1.27324,1.27275,1.27294
1609722300000,1.27294,1.27295,1.27206,1.27208
1609722600000,1.27209,1.27243,1.27202,1.27209
1609722900000,1.27211,1.27236,1.27210,1.27233
1609723200000,1.27232,1.27237,1.27179,1.27179
1609723500000,1.27178,1.27197,1.27161,1.27167
1609723800000,1.27169,1.27201,1.27150,1.27191
1609724100000,1.27188,1.27188,1.27130,1.27135
1609724400000,1.27130,1.27130,1.27072,1.27101
1609724700000,1.27099,1.27115,1.27065,1.27066
1609725000000,1.27064,1.27084,1.27055,1.27075
1609725300000,1.27075,1.27078,1.27053,1.27066
1609725600000,1.27068,1.27082,1.27049,1.27061
1609725900000,1.27062,1.27062,1.27046,1.27049
1609726200000,1.27049,1.27066,1.27026,1.27050
1609726500000,1.27048,1.27058,1.27035,1.27048
1609726800000,1.27051,1.27077,1.27046,1.27071
1609727100000,1.27071,1.27083,1.27030,1.27036
1609727400000,1.27037,1.27038,1.27002,1.27016
1609727700000,1.27017,1.27066,1.27015,1.27063
1609728000000,1.27064,1.27064,1.27022,1.27022
1609728300000,1.27021,1.27033,1.27005,1.27007
1609728600000,1.27008,1.27031,1.27001,1.27011
1609728900000,1.27009,1.27031,1.27004,1.27009
1609729200000,1.27007,1.27011,1.26982,1.26991
1609729500000,1.26992,1.26999,1.26967,1.26970
1609729800000,1.26969,1.26993,1.26961,1.26988
1609730100000,1.26989,1.26989,1.26968,1.26973
1609730400000,1.26973,1.26978,1.26954,1.26967
1609730700000,1.26965,1.26977,1.26959,1.26961
1609731000000,1.26960,1.26991,1.26955,1.26971
1609731300000,1.26971,1.26975,1.26961,1.26974
