timestamp,open,high,low,close
1704146400000,1.10427,1.10431,1.10424,1.10425
1704146700000,1.10424,1.10430,1.10424,1.10427
1704147000000,1.10425,1.10433,1.10423,1.10431
1704147300000,1.10430,1.10433,1.10423,1.10423
1704147600000,1.10431,1.10434,1.10420,1.10430
1704147900000,1.10431,1.10431,1.10429,1.10430
1704148200000,1.10431,1.10432,1.10431,1.10431
1704148500000,1.10431,1.10435,1.10431,1.10431
1704148800000,1.10431,1.10437,1.10431,1.10433
1704149100000,1.10426,1.10428,1.10423,1.10428
1704149400000,1.10428,1.10435,1.10428,1.10435
1704149700000,1.10433,1.10447,1.10429,1.10438
1704150000000,1.10446,1.10446,1.10403,1.10407
1704150300000,1.10407,1.10409,1.10400,1.10403
1704150600000,1.10402,1.10403,1.10383,1.10383
1704150900000,1.10383,1.10383,1.10370,1.10371
1704151200000,1.10371,1.10381,1.10370,1.10376
1704151500000,1.10375,1.10381,1.10371,1.10376
1704151800000,1.10376,1.10378,1.10361,1.10366
1704152100000,1.10368,1.10383,1.10367,1.10382
1704152400000,1.10381,1.10383,1.10365,1.10367
1704152700000,1.10367,1.10373,1.10356,1.10357
1704153000000,1.10358,1.10373,1.10356,1.10366
1704153300000,1.10367,1.10372,1.10360,1.10365
1704153600000,1.10366,1.10378,1.10366,1.10376
1704153900000,1.10377,1.10380,1.10371,1.10378
1704154200000,1.10378,1.10378,1.10369,1.10371
1704154500000,1.10372,1.10373,1.10366,1.10368
1704154800000,1.10368,1.10368,1.10346,1.10347
1704155100000,1.10347,1.10352,1.10342,1.10346
1704155400000,1.10346,1.10356,1.10345,1.10356
1704155700000,1.10355,1.10357,1.10352,1.10355
1704156000000,1.10356,1.10358,1.10354,1.10357
1704156300000,1.10357,1.10378,1.10357,1.10377
1704156600000,1.10376,1.10381,1.10370,1.10381
1704156900000,1.10380,1.10383,1.10368,1.10381
1704157200000,1.10380,1.10404,1.10375,1.10400
1704157500000,1.10399,1.10432,1.10397,1.10403
1704157800000,1.10403,1.10409,1.10385,1.10388
1704158100000,1.10387,1.10431,1.10386,1.10426
1704158400000,1.10428,1.10430,1.10403,1.10421
1704158700000,1.10420,1.10421,1.10392,1.10393
1704159000000,1.10394,1.10397,1.10373,1.10383
1704159300000,1.10384,1.10384,1.10369,1.10373
1704159600000,1.10373,1.10382,1.10370,1.10382
1704159900000,1.10383,1.10399,1.10383,1.10387
1704160200000,1.10388,1.10388,1.10371,1.10379
1704160500000,1.10380,1.10380,1.10342,1.10348
1704160800000,1.10347,1.10359,1.10343,1.10355
1704161100000,1.10354,1.10354,1.10314,1.10325
1704161400000,1.10326,1.10327,1.10315,1.10318
1704161700000,1.10317,1.10317,1.10292,1.10296
1704162000000,1.10297,1.10299,1.10266,1.10273
1704162300000,1.10271,1.10277,1.10262,1.10262
1704162600000,1.10265,1.10266,1.10244,1.10263
1704162900000,1.10262,1.10268,1.10256,1.10256
1704163200000,1.10257,1.10258,1.10221,1.10236
1704163500000,1.10237,1.10240,1.10214,1.10214
1704163800000,1.10215,1.10219,1.10198,1.10200
1704164100000,1.10201,1.10211,1.10182,1.10187
1704164400000,1.10187,1.10194,1.10179,1.10188
1704164700000,1.10188,1.10216,1.10176,1.10213
1704165000000,1.10211,1.10236,1.10208,1.10222
1704165300000,1.10222,1.10240,1.10222,1.10224
1704165600000,1.10223,1.10229,1.10217,1.10227
1704165900000,1.10228,1.10229,1.10206,1.10213
1704166200000,1.10216,1.10226,1.10212,1.10212
1704166500000,1.10212,1.10222,1.10206,1.10219
1704166800000,1.10220,1.10230,1.10219,1.10230
1704167100000,1.10231,1.10247,1.10231,1.10244
1704167400000,1.10244,1.10245,1.10239,1.10240
1704167700000,1.10239,1.10247,1.10234,1.10245
1704168000000,1.10245,1.10250,1.10222,1.10222
1704168300000,1.10224,1.10225,1.10207,1.10219
1704168600000,1.10219,1.10227,1.10209,1.10218
1704168900000,1.10222,1.10224,1.10209,1.10209
1704169200000,1.10209,1.10218,1.10208,1.10212
1704169500000,1.10211,1.10211,1.10192,1.10192
1704169800000,1.10194,1.10203,1.10193,1.10195
1704170100000,1.10194,1.10204,1.10193,1.10199
1704170400000,1.10199,1.10200,1.10173,1.10174
1704170700000,1.10174,1.10181,1.10171,1.10171
1704171000000,1.10172,1.10175,1.10165,1.10165
1704171300000,1.10165,1.10211,1.10165,1.10208
1704171600000,1.10208,1.10239,1.10208,1.10225
1704171900000,1.10226,1.10229,1.10210,1.10225
1704172200000,1.10226,1.10252,1.10220,1.10250
1704172500000,1.10254,1.10265,1.10247,1.10254
1704172800000,1.10255,1.10273,1.10252,1.10267
1704173100000,1.10267,1.10281,1.10263,1.10265
1704173400000,1.10265,1.10279,1.10265,1.10274
1704173700000,1.10278,1.10289,1.10272,1.10280
1704174000000,1.10281,1.10303,1.10281,1.10300
1704174300000,1.10301,1.10316,1.10292,1.10301
1704174600000,1.10302,1.10327,1.10295,1.10311
1704174900000,1.10315,1.10335,1.10309,1.10333
1704175200000,1.10334,1.10336,1.10316,1.10325
1704175500000,1.10326,1.10342,1.10321,1.10325
1704175800000,1.10325,1.10327,1.10320,1.10322
1704176100000,1.10322,1.10337,1.10319,1.10327
1704176400000,1.10326,1.10327,1.10305,1.10311
1704176700000,1.10309,1.10325,1.10300,1.10320
1704177000000,1.10320,1.10334,1.10311,1.10322
1704177300000,1.10323,1.10332,1.10309,1.10330
1704177600000,1.10331,1.10347,1.10329,1.10335
1704177900000,1.10336,1.10351,1.10330,1.10341
1704178200000,1.10338,1.10338,1.10285,1.10285
1704178500000,1.10287,1.10295,1.10268,1.10286
1704178800000,1.10286,1.10302,1.10245,1.10265
1704179100000,1.10266,1.10303,1.10266,1.10284
1704179400000,1.10285,1.10310,1.10275,1.10281
1704179700000,1.10280,1.10314,1.10276,1.10299
1704180000000,1.10299,1.10362,1.10287,1.10360
1704180300000,1.10359,1.10377,1.10343,1.10372
1704180600000,1.10371,1.10380,1.10342,1.10370
1704180900000,1.10372,1.10374,1.10338,1.10364
1704181200000,1.10363,1.10363,1.10298,1.10299
1704181500000,1.10299,1.10314,1.10275,1.10299
1704181800000,1.10301,1.10305,1.10222,1.10222
1704182100000,1.10224,1.10245,1.10151,1.10153
1704182400000,1.10156,1.10293,1.10156,1.10269
1704182700000,1.10270,1.10296,1.10239,1.10295
1704183000000,1.10300,1.10387,1.10298,1.10323
1704183300000,1.10321,1.10341,1.10281,1.10302
1704183600000,1.10301,1.10309,1.10283,1.10303
1704183900000,1.10303,1.10307,1.10276,1.10288
1704184200000,1.10288,1.10329,1.10287,1.10307
1704184500000,1.10305,1.10314,1.10280,1.10298
1704184800000,1.10298,1.10307,1.10286,1.10291
1704185100000,1.10293,1.10324,1.10286,1.10309
1704185400000,1.10309,1.10329,1.10287,1.10302
1704185700000,1.10302,1.10307,1.10253,1.10295
1704186000000,1.10296,1.10347,1.10289,1.10313
1704186300000,1.10313,1.10352,1.10311,1.10329
1704186600000,1.10327,1.10363,1.10304,1.10352
1704186900000,1.10351,1.10378,1.10340,1.10353
1704187200000,1.10353,1.10367,1.10334,1.10340
1704187500000,1.10340,1.10355,1.10331,1.10332
1704187800000,1.10332,1.10351,1.10304,1.10318
1704188100000,1.10318,1.10321,1.10284,1.10287
1704188400000,1.10286,1.10286,1.10189,1.10196
1704188700000,1.10194,1.10195,1.10107,1.10190
1704189000000,1.10195,1.10199,1.10163,1.10171
1704189300000,1.10170,1.10171,1.10139,1.10150
1704189600000,1.10149,1.10170,1.10110,1.10113
1704189900000,1.10112,1.10113,1.10051,1.10060
1704190200000,1.10062,1.10065,1.09970,1.10000
1704190500000,1.09999,1.10032,1.09994,1.10021
1704190800000,1.10021,1.10050,1.10019,1.10031
1704191100000,1.10029,1.10055,1.10019,1.10039
